message,sender,merchant,amount,transaction_type,reference_number,date
SBI: A/C credit ₹8556.58 via UPI to Flipkart. Reference 238368,SBI,Flipkart,8556.58,credit,238368,2025-01-11
Family: A/C credit ₹1915.04 via UPI to Swiggy. Reference 545971,Family,Swiggy,1915.04,credit,545971,2025-01-15
Family: credit of ₹3896.80 to Flipkart. Ref No 597582 on 2025-01-19,Family,Flipkart,3896.8,credit,597582,2025-01-19
SBI: A/C debit ₹2230.32 via UPI to Netflix. Reference 178115,SBI,Netflix,2230.32,debit,178115,2025-01-27
Family Bank: Debit of ₹3863.69. Transaction with Swiggy. Ref: 812513,Family,Swiggy,3863.69,debit,812513,2025-01-05
Punjab National Bank Bank: Credit of ₹8582.71. Transaction with Myntra. Ref: 410663,Punjab National Bank,Myntra,8582.71,credit,410663,2025-01-02
SBI Bank: Credit of ₹4589.19. Transaction with PhonePe. Ref: 651279,SBI,PhonePe,4589.19,credit,651279,2025-01-20
Yes Bank: credit of ₹6133.98 to Uber. Ref No 142291 on 2025-01-11,Yes Bank,Uber,6133.98,credit,142291,2025-01-11
Personal Bank: Credit of ₹4704.79. Transaction with Netflix. Ref: 919104,Personal,Netflix,4704.79,credit,919104,2025-01-01
SBI: debit of ₹4688.30 to Netflix. Ref No 477262 on 2025-01-13,SBI,Netflix,4688.3,debit,477262,2025-01-13
Friend: A/C debit ₹4124.58 via UPI to Myntra. Reference 251174,Friend,Myntra,4124.58,debit,251174,2025-01-07
ICICI Bank: debit of ₹4855.89 to Google Play Store. Ref No 873558 on 2025-01-03,ICICI Bank,Google Play Store,4855.89,debit,873558,2025-01-03
UPI Transaction: 1030.25 debit from HDFC Bank to PhonePe. Ref 313974,HDFC Bank,PhonePe,1030.25,debit,313974,2025-01-15
Axis Bank Bank: Credit of ₹8873.14. Transaction with Uber. Ref: 790164,Axis Bank,Uber,8873.14,credit,790164,2025-01-30
ICICI Bank Bank: Debit of ₹2575.36. Transaction with Netflix. Ref: 658981,ICICI Bank,Netflix,2575.36,debit,658981,2025-01-26
Family: A/C credit ₹6900.82 via UPi to Uber. Reference 698196,Family,Uber,6900.82,credit,698196,2025-01-23
ICICI Bank: debit of ₹1231.75 to BookMyShow. Ref No 497026 on 2025-01-01,ICICI Bank,BookMyShow,1231.75,debit,497026,2025-01-01
Yes Bank: A/C credit ₹1113.41 via UPI to BookMyShow. Reference 879601,Yes Bank,BookMyShow,1113.41,credit,879601,2025-01-31
UPI Transaction: 4979.48 credit from HDFC Bank to Google Play Store. Ref 290826,HDFC Bank,Google Play Store,4979.48,credit,290826,2025-01-05
UPI Transaction: 4645.95 debit from ICICI Bank to Google Play Store. Ref 327390,ICICI Bank,Google Play Store,4645.95,debit,327390,2025-01-27
ICICI Bank: A/C debit ₹4348.97 via UPI to Myntra. Reference 389062,ICICI Bank,Myntra,4348.97,debit,389062,2025-01-22
Family: credit of ₹9736.37 to BigBasket. Ref No 304910 on 2025-01-06,Family,BigBasket,9736.37,credit,304910,2025-01-06
UPI Transaction: 3271.38 debit from Kotak Mahindra Bank to BigBasket. Ref 877112,Kotak Mahindra Bank,BigBasket,3271.38,debit,877112,2025-01-23
SBI: A/C debit ₹257.95 via UPI to PhonePe. Reference 716096,SBI,PhonePe,257.95,debit,716096,2025-01-28
ICICI Bank: debit of ₹3322.99 to BookMyShow. Ref No 135542 on 2025-01-22,ICICI Bank,BookMyShow,3322.99,debit,135542,2025-01-22
Axis Bank: debit of ₹3238.68 to Zomato. Ref No 992165 on 2025-01-14,Axis Bank,Zomato,3238.68,debit,992165,2025-01-14
UPI Transaction: 3946.09 debit from Yes Bank to Myntra. Ref 536549,Yes Bank,Myntra,3946.09,debit,536549,2025-01-02
HDFC Bank Bank: Debit of ₹251.17. Transaction with PhonePe. Ref: 298807,HDFC Bank,PhonePe,251.17,debit,298807,2025-01-23
Punjab National Bank: debit of ₹3344.42 to BookMyShow. Ref No 450296 on 2025-01-03,Punjab National Bank,BookMyShow,3344.42,debit,450296,2025-01-03
UPI Transaction: 1970.88 debit from Kotak Mahindra Bank to Myntra. Ref 160731,Kotak Mahindra Bank,Myntra,1970.88,debit,160731,2025-01-20
Friend Bank: Credit of ₹460.92. Transaction with Netflix. Ref: 197812,Friend,Netflix,460.92,credit,197812,2025-01-07
UPI Transaction: 2145.29 debit from Kotak Mahindra Bank to PhonePe. Ref 560003,Kotak Mahindra Bank,PhonePe,2145.29,debit,560003,2025-01-15
Personal Bank: Debit of ₹1375.07. Transaction with Amazon. Ref: 604777,Personal,Amazon,1375.07,debit,604777,2025-01-12
SBI Bank: Debit of ₹4906.70. Transaction with PhonePe. Ref: 528290,SBI,PhonePe,4906.7,debit,528290,2025-01-02
Friend: A/C credit ₹5678.78 via UPI to Myntra. Reference 781143,Friend,Myntra,5678.78,credit,781143,2025-01-21
SBI Bank: Credit of ₹1091.88. Transaction with Zomato. Ref: 763722,SBI,Zomato,1091.88,credit,763722,2025-01-17
Axis Bank: A/C credit ₹6607.63 via UPI to Amazon. Reference 868789,Axis Bank,Amazon,6607.63,credit,868789,2025-02-02
Friend Bank: Credit of ₹5284.15. Transaction with Amazon. Ref: 617001,Friend,Amazon,5284.15,credit,617001,2025-01-17
Axis Bank Bank: Credit of ₹6125.12. Transaction with Flipkart. Ref: 926169,Axis Bank,Flipkart,6125.12,credit,926169,2025-01-21
Punjab National Bank Bank: Debit of ₹4372.60. Transaction with Zomato. Ref: 673672,Punjab National Bank,Zomato,4372.6,debit,673672,2025-01-11
Family: debit of ₹1510.60 to Zomato. Ref No 219172 on 2025-01-01,Family,Zomato,1510.6,debit,219172,2025-01-01
Punjab National Bank: credit of ₹7662.79 to BigBasket. Ref No 220912 on 2025-01-21,Punjab National Bank,BigBasket,7662.79,credit,220912,2025-01-21
SBI Bank: Credit of ₹9970.13. Transaction with Paytm. Ref: 921685,SBI,Paytm,9970.13,credit,921685,2025-01-06
HDFC Bank: debit of ₹3479.15 to Zomato. Ref No 926028 on 2025-01-08,HDFC Bank,Zomato,3479.15,debit,926028,2025-01-08
UPI Transaction: 2839.08 debit from HDFC Bank to Netflix. Ref 944984,HDFC Bank,Netflix,2839.08,debit,944984,2025-01-08
UPI Transaction: 8905.77 credit from Family to Myntra. Ref 322776,Family,Myntra,8905.77,credit,322776,2025-01-03
UPI Transaction: 4977.84 debit from Family to BookMyShow. Ref 697139,Family,BookMyShow,4977.84,debit,697139,2025-01-20
ICICI Bank: A/C debit ₹553.36 via UPi to Netflix. Reference 225297,ICICI Bank,Netflix,553.36,debit,225297,2025-01-08
SBI: A/C debit ₹4458.98 via UPI to PhonePe. Reference 691956,SBI,PhonePe,4458.98,debit,691956,2025-01-16
Kotak Mahindra Bank Bank: Credit of ₹171.15. Transaction with Paytm. Ref: 812204,Kotak Mahindra Bank,Paytm,171.15,credit,812204,2025-01-29
SBI: A/C credit ₹5746.95 via UPi to Myntra. Reference 987607,SBI,Myntra,5746.95,credit,987607,2025-01-19
SBI: debit of ₹701.87 to Uber. Ref No 605872 on 2025-01-16,SBI,Uber,701.87,debit,605872,2025-01-16
ICICI Bank: credit of ₹9749.20 to Google Play Store. Ref No 277810 on 2025-01-01,ICICI Bank,Google Play Store,9749.2,credit,277810,2025-01-01
UPI Transaction: 463.33 credit from SBI to Myntra. Ref 952175,SBI,Myntra,463.33,credit,952175,2025-01-22
Punjab National Bank Bank: Credit of ₹5849.89. Transaction with Netflix. Ref: 853284,Punjab National Bank,Netflix,5849.89,credit,853284,2025-01-23
Family: credit of ₹6538.36 to BigBasket. Ref No 125658 on 2025-01-12,Family,BigBasket,6538.36,credit,125658,2025-01-12
SBI: A/C debit ₹2837.80 via UPI to Zomato. Reference 642978,SBI,Zomato,2837.8,debit,642978,2025-01-01
ICICI Bank Bank: Credit of ₹7136.21. Transaction with BigBasket. Ref: 602861,ICICI Bank,BigBasket,7136.21,credit,602861,2025-01-01
UPI Transaction: 3225.16 debit from Axis Bank to BigBasket. Ref 662809,Axis Bank,BigBasket,3225.16,debit,662809,2025-01-31
Axis Bank: A/C debit ₹2157.40 via UPI to Amazon. Reference 833419,Axis Bank,Amazon,2157.4,debit,833419,2025-01-01
ICICI Bank: A/C credit ₹5659.25 via UPI to Uber. Reference 743016,ICICI Bank,Uber,5659.25,credit,743016,2025-01-14
Yes Bank Bank: Debit of ₹4575.18. Transaction with Ola. Ref: 651879,Yes Bank,Ola,4575.18,debit,651879,2025-01-02
UPI Transaction: 1738.88 debit from SBI to Ola. Ref 482965,SBI,Ola,1738.88,debit,482965,2025-01-26
Punjab National Bank: credit of ₹1249.76 to Flipkart. Ref No 470832 on 2025-01-18,Punjab National Bank,Flipkart,1249.76,credit,470832,2025-01-18
Kotak Mahindra Bank Bank: Credit of ₹2114.28. Transaction with Google Play Store. Ref: 834676,Kotak Mahindra Bank,Google Play Store,2114.28,credit,834676,2025-02-02
Yes Bank Bank: Debit of ₹3435.39. Transaction with Google Play Store. Ref: 141943,Yes Bank,Google Play Store,3435.39,debit,141943,2025-01-29
Punjab National Bank: A/C debit ₹2484.59 via UPI to Google Play Store. Reference 689771,Punjab National Bank,Google Play Store,2484.59,debit,689771,2025-01-12
UPI Transaction: 1229.70 credit from Yes Bank to Paytm. Ref 157741,Yes Bank,Paytm,1229.7,credit,157741,2025-01-07
Personal Bank: Debit of ₹2285.62. Transaction with Ola. Ref: 572173,Personal,Ola,2285.62,debit,572173,2025-01-27
Friend Bank: Debit of ₹2342.34. Transaction with Flipkart. Ref: 745564,Friend,Flipkart,2342.34,debit,745564,2025-01-23
Axis Bank: credit of ₹1357.20 to Netflix. Ref No 814490 on 2025-01-03,Axis Bank,Netflix,1357.2,credit,814490,2025-01-03
HDFC Bank Bank: Debit of ₹2281.70. Transaction with PhonePe. Ref: 682675,HDFC Bank,PhonePe,2281.7,debit,682675,2025-01-27
HDFC Bank: A/C debit ₹2535.77 via UPI to Google Play Store. Reference 386034,HDFC Bank,Google Play Store,2535.77,debit,386034,2025-01-07
Axis Bank Bank: Debit of ₹3853.42. Transaction with Swiggy. Ref: 718325,Axis Bank,Swiggy,3853.42,debit,718325,2025-01-11
HDFC Bank: A/C debit ₹4242.58 via UPI to Google Play Store. Reference 393819,HDFC Bank,Google Play Store,4242.58,debit,393819,2025-02-01
Yes Bank Bank: Credit of ₹580.03. Transaction with Zomato. Ref: 250673,Yes Bank,Zomato,580.03,credit,250673,2025-01-18
UPI Transaction: 1892.48 debit from Friend to Uber. Ref 787635,Friend,Uber,1892.48,debit,787635,2025-01-26
UPI Transaction: 747.79 debit from HDFC Bank to Google Play Store. Ref 274320,HDFC Bank,Google Play Store,747.79,debit,274320,2025-01-26
ICICI Bank: debit of ₹462.86 to Paytm. Ref No 234994 on 2025-01-15,ICICI Bank,Paytm,462.86,debit,234994,2025-01-15
ICICI Bank: credit of ₹3802.77 to Google Play Store. Ref No 743342 on 2025-01-28,ICICI Bank,Google Play Store,3802.77,credit,743342,2025-01-28
SBI Bank: Debit of ₹4407.60. Transaction with Zomato. Ref: 580583,SBI,Zomato,4407.6,debit,580583,2025-01-07
Kotak Mahindra Bank Bank: Credit of ₹1205.04. Transaction with Uber. Ref: 482838,Kotak Mahindra Bank,Uber,1205.04,credit,482838,2025-01-04
UPI Transaction: 4921.63 debit from Friend to Zomato. Ref 283981,Friend,Zomato,4921.63,debit,283981,2025-01-21
UPI Transaction: 6918.53 credit from Axis Bank to PhonePe. Ref 222678,Axis Bank,PhonePe,6918.53,credit,222678,2025-01-01
UPI Transaction: 1828.85 debit from Yes Bank to BigBasket. Ref 684772,Yes Bank,BigBasket,1828.85,debit,684772,2025-01-08
Kotak Mahindra Bank: A/C debit ₹3361.25 via UPI to Uber. Reference 189883,Kotak Mahindra Bank,Uber,3361.25,debit,189883,2025-01-06
Family Bank: Credit of ₹2665.03. Transaction with Paytm. Ref: 306852,Family,Paytm,2665.03,credit,306852,2025-01-15
Yes Bank: A/C debit ₹1200.39 via UPI to BigBasket. Reference 983871,Yes Bank,BigBasket,1200.39,debit,983871,2025-01-21
Axis Bank: A/C debit ₹504.46 via UPI to Flipkart. Reference 989151,Axis Bank,Flipkart,504.46,debit,989151,2025-01-21
UPI Transaction: 3736.11 debit from Axis Bank to Amazon. Ref 791220,Axis Bank,Amazon,3736.11,debit,791220,2025-01-27
ICICI Bank: credit of ₹9119.01 to Uber. Ref No 893410 on 2025-01-25,ICICI Bank,Uber,9119.01,credit,893410,2025-01-25
Friend: A/C credit ₹1755.27 via UPI to BigBasket. Reference 294945,Friend,BigBasket,1755.27,credit,294945,2025-01-08
Family Bank: Debit of ₹3128.15. Transaction with BigBasket. Ref: 985502,Family,BigBasket,3128.15,debit,985502,2025-01-25
Axis Bank: A/C credit ₹389.01 via UPI to BigBasket. Reference 842450,Axis Bank,BigBasket,389.01,credit,842450,2025-01-14
UPI Transaction: 443.72 credit from Punjab National Bank to Ola. Ref 215566,Punjab National Bank,Ola,443.72,credit,215566,2025-01-04
Friend Bank: Credit of ₹991.64. Transaction with Zomato. Ref: 327585,Friend,Zomato,991.64,credit,327585,2025-01-18
UPI Transaction: 2430.06 credit from Personal to BigBasket. Ref 175184,Personal,BigBasket,2430.06,credit,175184,2025-01-24
ICICI Bank: A/C debit ₹4164.43 via UPI to Google Play Store. Reference 365231,ICICI Bank,Google Play Store,4164.43,debit,365231,2025-01-19
Axis Bank: A/C credit ₹311.15 via UPi to Flipkart. Reference 157735,Axis Bank,Flipkart,311.15,credit,157735,2025-01-23
Yes Bank: A/C debit ₹4647.09 via UPi to Uber. Reference 678941,Yes Bank,Uber,4647.09,debit,678941,2025-01-14
ICICI Bank: debit of ₹920.97 to Google Play Store. Ref No 883035 on 2025-01-02,ICICI Bank,Google Play Store,920.97,debit,883035,2025-01-02
UPI Transaction: 1390.92 credit from SBI to BookMyShow. Ref 639369,SBI,BookMyShow,1390.92,credit,639369,2025-01-03
SBI: credit of ₹6126.26 to Amazon. Ref No 581053 on 2025-01-19,SBI,Amazon,6126.26,credit,581053,2025-01-19
SBI: A/C credit ₹9427.19 via UPI to Google Play Store. Reference 345258,SBI,Google Play Store,9427.19,credit,345258,2025-01-31
UPI Transaction: 1151.18 credit from Personal to Zomato. Ref 361680,Personal,Zomato,1151.18,credit,361680,2025-02-02
Family: debit of ₹4151.71 to Flipkart. Ref No 932470 on 2025-01-28,Family,Flipkart,4151.71,debit,932470,2025-01-28
HDFC Bank: A/C credit ₹2812.22 via UPI to Flipkart. Reference 473667,HDFC Bank,Flipkart,2812.22,credit,473667,2025-01-19
SBI Bank: Credit of ₹2537.58. Transaction with Google Play Store. Ref: 389556,SBI,Google Play Store,2537.58,credit,389556,2025-01-19
Axis Bank Bank: Credit of ₹7990.94. Transaction with Zomato. Ref: 332465,Axis Bank,Zomato,7990.94,credit,332465,2025-01-27
UPI Transaction: 3857.72 credit from Family to Paytm. Ref 850334,Family,Paytm,3857.72,credit,850334,2025-01-14
Punjab National Bank Bank: Debit of ₹1421.40. Transaction with Zomato. Ref: 508650,Punjab National Bank,Zomato,1421.4,debit,508650,2025-02-01
SBI: A/C credit ₹3901.08 via UPI to BigBasket. Reference 982587,SBI,BigBasket,3901.08,credit,982587,2025-01-28
UPI Transaction: 2945.44 credit from ICICI Bank to Zomato. Ref 785681,ICICI Bank,Zomato,2945.44,credit,785681,2025-02-02
UPI Transaction: 7196.41 credit from Family to Ola. Ref 786355,Family,Ola,7196.41,credit,786355,2025-01-30
UPI Transaction: 7179.21 credit from Family to Google Play Store. Ref 563382,Family,Google Play Store,7179.21,credit,563382,2025-01-06
Family Bank: Credit of ₹4838.82. Transaction with Zomato. Ref: 371142,Family,Zomato,4838.82,credit,371142,2025-01-10
Axis Bank: A/C credit ₹1057.83 via UPi to Netflix. Reference 379592,Axis Bank,Netflix,1057.83,credit,379592,2025-01-24
Punjab National Bank: A/C credit ₹560.22 via UPI to Google Play Store. Reference 815089,Punjab National Bank,Google Play Store,560.22,credit,815089,2025-02-01
Family: debit of ₹366.07 to Google Play Store. Ref No 144262 on 2025-01-29,Family,Google Play Store,366.07,debit,144262,2025-01-29
UPI Transaction: 4827.45 debit from Personal to Netflix. Ref 384713,Personal,Netflix,4827.45,debit,384713,2025-01-27
Family: A/C debit ₹4669.31 via UPI to Flipkart. Reference 998477,Family,Flipkart,4669.31,debit,998477,2025-01-23
UPI Transaction: 4339.69 debit from Friend to BookMyShow. Ref 804119,Friend,BookMyShow,4339.69,debit,804119,2025-01-09
Kotak Mahindra Bank: A/C debit ₹3028.43 via UPI to Google Play Store. Reference 775709,Kotak Mahindra Bank,Google Play Store,3028.43,debit,775709,2025-01-02
UPi Transaction: 2259.01 credit from Axis Bank to Uber. Ref 805775,Axis Bank,Uber,2259.01,credit,805775,2025-01-10
Kotak Mahindra Bank: A/C debit ₹4762.35 via UPI to BigBasket. Reference 698839,Kotak Mahindra Bank,BigBasket,4762.35,debit,698839,2025-01-29
Kotak Mahindra Bank: A/C debit ₹502.01 via UPI to Zomato. Reference 751038,Kotak Mahindra Bank,Zomato,502.01,debit,751038,2025-01-18
Punjab National Bank: A/C credit ₹6862.10 via UPi to Netflix. Reference 895421,Punjab National Bank,Netflix,6862.1,credit,895421,2025-01-15
UPI Transaction: 9591.00 credit from Personal to PhonePe. Ref 539469,Personal,PhonePe,9591.0,credit,539469,2025-01-22
UPI Transaction: 351.94 debit from Kotak Mahindra Bank to Paytm. Ref 718718,Kotak Mahindra Bank,Paytm,351.94,debit,718718,2025-01-28
Family Bank: Debit of ₹1412.79. Transaction with Netflix. Ref: 692082,Family,Netflix,1412.79,debit,692082,2025-01-16
Axis Bank Bank: Debit of ₹215.75. Transaction with Uber. Ref: 848861,Axis Bank,Uber,215.75,debit,848861,2025-01-29
ICICI Bank Bank: Debit of ₹738.10. Transaction with Swiggy. Ref: 825736,ICICI Bank,Swiggy,738.1,debit,825736,2025-01-28
SBI: debit of ₹4696.25 to Myntra. Ref No 827771 on 2025-01-31,SBI,Myntra,4696.25,debit,827771,2025-01-31
UPI Transaction: 3805.20 debit from Axis Bank to Uber. Ref 632754,Axis Bank,Uber,3805.2,debit,632754,2025-01-30
UPI Transaction: 2476.47 credit from Family to Ola. Ref 995539,Family,Ola,2476.47,credit,995539,2025-01-12
Yes Bank: debit of ₹2193.97 to Netflix. Ref No 226146 on 2025-01-11,Yes Bank,Netflix,2193.97,debit,226146,2025-01-11
Kotak Mahindra Bank: credit of ₹6049.14 to Uber. Ref No 760872 on 2025-01-30,Kotak Mahindra Bank,Uber,6049.14,credit,760872,2025-01-30
Yes Bank Bank: Credit of ₹6385.14. Transaction with Ola. Ref: 431478,Yes Bank,Ola,6385.14,credit,431478,2025-01-08
UPI Transaction: 1740.21 debit from HDFC Bank to Netflix. Ref 377652,HDFC Bank,Netflix,1740.21,debit,377652,2025-01-29
Kotak Mahindra Bank: A/C debit ₹2804.07 via UPI to Amazon. Reference 146095,Kotak Mahindra Bank,Amazon,2804.07,debit,146095,2025-01-29
ICICI Bank Bank: Credit of ₹1131.68. Transaction with Paytm. Ref: 912576,ICICI Bank,Paytm,1131.68,credit,912576,2025-01-14
SBI Bank: Debit of ₹794.79. Transaction with Uber. Ref: 641593,SBI,Uber,794.79,debit,641593,2025-02-02
Friend: A/C credit ₹2662.81 via UPI to Ola. Reference 622785,Friend,Ola,2662.81,credit,622785,2025-01-29
Friend Bank: Credit of ₹1826.25. Transaction with BookMyShow. Ref: 581374,Friend,BookMyShow,1826.25,credit,581374,2025-01-20
Axis Bank: A/C debit ₹4299.46 via UPI to Flipkart. Reference 130239,Axis Bank,Flipkart,4299.46,debit,130239,2025-01-20
SBI: credit of ₹9075.40 to Zomato. Ref No 827739 on 2025-01-24,SBI,Zomato,9075.4,credit,827739,2025-01-24
Friend Bank: Credit of ₹6452.10. Transaction with BookMyShow. Ref: 515248,Friend,BookMyShow,6452.1,credit,515248,2025-01-21
UPI Transaction: 6288.24 credit from Axis Bank to Flipkart. Ref 520477,Axis Bank,Flipkart,6288.24,credit,520477,2025-01-31
UPI Transaction: 1374.16 credit from Personal to Netflix. Ref 305651,Personal,Netflix,1374.16,credit,305651,2025-01-04
Axis Bank: debit of ₹2192.88 to Swiggy. Ref No 672772 on 2025-01-06,Axis Bank,Swiggy,2192.88,debit,672772,2025-01-06
UPI Transaction: 4490.71 debit from Punjab National Bank to BookMyShow. Ref 976594,Punjab National Bank,BookMyShow,4490.71,debit,976594,2025-01-25
UPI Transaction: 3816.13 debit from ICICI Bank to Amazon. Ref 399798,ICICI Bank,Amazon,3816.13,debit,399798,2025-01-20
UPI Transaction: 9537.11 credit from SBI to Swiggy. Ref 596262,SBI,Swiggy,9537.11,credit,596262,2025-01-09
Punjab National Bank: A/C debit ₹2238.79 via UPI to Paytm. Reference 498356,Punjab National Bank,Paytm,2238.79,debit,498356,2025-01-12
ICICI Bank: A/C credit ₹1769.31 via UPI to Flipkart. Reference 375812,ICICI Bank,Flipkart,1769.31,credit,375812,2025-01-03
Yes Bank: debit of ₹2822.22 to Amazon. Ref No 168792 on 2025-01-28,Yes Bank,Amazon,2822.22,debit,168792,2025-01-28
HDFC Bank: credit of ₹5984.61 to PhonePe. Ref No 965990 on 2025-01-15,HDFC Bank,PhonePe,5984.61,credit,965990,2025-01-15
Friend: A/C credit ₹4334.92 via UPI to Amazon. Reference 965814,Friend,Amazon,4334.92,credit,965814,2025-01-15
Personal: debit of ₹4932.97 to Netflix. Ref No 594109 on 2025-01-21,Personal,Netflix,4932.97,debit,594109,2025-01-21
Yes Bank: A/C debit ₹2287.11 via UPI to Zomato. Reference 962701,Yes Bank,Zomato,2287.11,debit,962701,2025-01-13
Family Bank: Credit of ₹8151.68. Transaction with Swiggy. Ref: 884431,Family,Swiggy,8151.68,credit,884431,2025-01-28
Friend Bank: Debit of ₹2312.45. Transaction with BookMyShow. Ref: 760532,Friend,BookMyShow,2312.45,debit,760532,2025-01-05
Personal Bank: Credit of ₹9389.85. Transaction with Ola. Ref: 235636,Personal,Ola,9389.85,credit,235636,2025-01-09
Personal: credit of ₹3746.55 to Uber. Ref No 950957 on 2025-01-08,Personal,Uber,3746.55,credit,950957,2025-01-08
Punjab National Bank: A/C credit ₹3052.63 via UPI to PhonePe. Reference 410007,Punjab National Bank,PhonePe,3052.63,credit,410007,2025-01-10
ICICI Bank: credit of ₹476.45 to Google Play Store. Ref No 139328 on 2025-01-05,ICICI Bank,Google Play Store,476.45,credit,139328,2025-01-05
UPI Transaction: 4262.14 debit from ICICI Bank to Uber. Ref 593833,ICICI Bank,Uber,4262.14,debit,593833,2025-01-09
Personal Bank: Credit of ₹5839.95. Transaction with BookMyShow. Ref: 837995,Personal,BookMyShow,5839.95,credit,837995,2025-01-21
Axis Bank Bank: Credit of ₹1638.03. Transaction with Swiggy. Ref: 555101,Axis Bank,Swiggy,1638.03,credit,555101,2025-01-09
ICICI Bank: debit of ₹1077.31 to BookMyShow. Ref No 495952 on 2025-01-04,ICICI Bank,BookMyShow,1077.31,debit,495952,2025-01-04
Family Bank: Credit of ₹6538.26. Transaction with Uber. Ref: 509701,Family,Uber,6538.26,credit,509701,2025-01-12
Kotak Mahindra Bank Bank: Credit of ₹9264.78. Transaction with Zomato. Ref: 577693,Kotak Mahindra Bank,Zomato,9264.78,credit,577693,2025-01-10
Friend Bank: Credit of ₹601.23. Transaction with Paytm. Ref: 872505,Friend,Paytm,601.23,credit,872505,2025-01-10
Kotak Mahindra Bank Bank: Credit of ₹3612.97. Transaction with BookMyShow. Ref: 911686,Kotak Mahindra Bank,BookMyShow,3612.97,credit,911686,2025-01-10
SBI: A/C credit ₹9996.61 via UPI to PhonePe. Reference 445613,SBI,PhonePe,9996.61,credit,445613,2025-01-13
ICICI Bank Bank: Debit of ₹1379.01. Transaction with BigBasket. Ref: 398568,ICICI Bank,BigBasket,1379.01,debit,398568,2025-01-30
Personal Bank: Credit of ₹1280.31. Transaction with PhonePe. Ref: 432381,Personal,PhonePe,1280.31,credit,432381,2025-01-15
Personal Bank: Credit of ₹3932.48. Transaction with Google Play Store. Ref: 263613,Personal,Google Play Store,3932.48,credit,263613,2025-01-30
ICICI Bank Bank: Credit of ₹9048.39. Transaction with BigBasket. Ref: 942227,ICICI Bank,BigBasket,9048.39,credit,942227,2025-01-25
HDFC Bank: A/C credit ₹2161.36 via UPI to Ola. Reference 992618,HDFC Bank,Ola,2161.36,credit,992618,2025-01-29
UPI Transaction: 5647.80 credit from Axis Bank to Paytm. Ref 940563,Axis Bank,Paytm,5647.8,credit,940563,2025-01-30
UPI Transaction: 561.83 debit from Kotak Mahindra Bank to Paytm. Ref 745103,Kotak Mahindra Bank,Paytm,561.83,debit,745103,2025-01-21
Personal: debit of ₹1856.91 to Zomato. Ref No 578851 on 2025-01-03,Personal,Zomato,1856.91,debit,578851,2025-01-03
UPi Transaction: 4158.68 debit from Axis Bank to Flipkart. Ref 147356,Axis Bank,Flipkart,4158.68,debit,147356,2025-01-21
Friend Bank: Credit of ₹1013.04. Transaction with PhonePe. Ref: 283686,Friend,PhonePe,1013.04,credit,283686,2025-01-28
Friend: debit of ₹4775.19 to Myntra. Ref No 903534 on 2025-01-30,Friend,Myntra,4775.19,debit,903534,2025-01-30
Family: debit of ₹4919.88 to Zomato. Ref No 916470 on 2025-01-04,Family,Zomato,4919.88,debit,916470,2025-01-04
SBI: A/C credit ₹5776.21 via UPI to Zomato. Reference 287547,SBI,Zomato,5776.21,credit,287547,2025-01-20
Family: debit of ₹1169.06 to Amazon. Ref No 543189 on 2025-01-01,Family,Amazon,1169.06,debit,543189,2025-01-01
Kotak Mahindra Bank: credit of ₹1152.87 to BookMyShow. Ref No 376187 on 2025-01-21,Kotak Mahindra Bank,BookMyShow,1152.87,credit,376187,2025-01-21
Family: A/C debit ₹1717.02 via UPI to Ola. Reference 833758,Family,Ola,1717.02,debit,833758,2025-01-17
SBI Bank: Debit of ₹4900.08. Transaction with Google Play Store. Ref: 689645,SBI,Google Play Store,4900.08,debit,689645,2025-01-18
UPI Transaction: 4703.66 debit from Friend to PhonePe. Ref 189703,Friend,PhonePe,4703.66,debit,189703,2025-01-17
UPI Transaction: 3080.02 credit from Axis Bank to Paytm. Ref 943119,Axis Bank,Paytm,3080.02,credit,943119,2025-01-16
SBI: A/C debit ₹4693.87 via UPI to BookMyShow. Reference 817583,SBI,BookMyShow,4693.87,debit,817583,2025-01-16
UPi Transaction: 2907.00 debit from SBI to Netflix. Ref 861524,SBI,Netflix,2907.0,debit,861524,2025-01-21
Family Bank: Credit of ₹8316.51. Transaction with Netflix. Ref: 109287,Family,Netflix,8316.51,credit,109287,2025-01-08
HDFC Bank: A/C debit ₹1247.28 via UPi to Flipkart. Reference 781202,HDFC Bank,Flipkart,1247.28,debit,781202,2025-01-21
Kotak Mahindra Bank: A/C credit ₹6774.38 via UPI to BookMyShow. Reference 851775,Kotak Mahindra Bank,BookMyShow,6774.38,credit,851775,2025-01-20
UPI Transaction: 9627.13 credit from Family to BigBasket. Ref 766616,Family,BigBasket,9627.13,credit,766616,2025-01-13
UPI Transaction: 2741.64 credit from Punjab National Bank to Uber. Ref 758252,Punjab National Bank,Uber,2741.64,credit,758252,2025-01-31
UPI Transaction: 2644.88 debit from Family to Zomato. Ref 155714,Family,Zomato,2644.88,debit,155714,2025-01-20
UPI Transaction: 3778.45 credit from Axis Bank to Zomato. Ref 148214,Axis Bank,Zomato,3778.45,credit,148214,2025-01-14
UPi Transaction: 2315.02 credit from Kotak Mahindra Bank to Amazon. Ref 493637,Kotak Mahindra Bank,Amazon,2315.02,credit,493637,2025-01-13
Personal: A/C debit ₹1421.67 via UPI to PhonePe. Reference 830976,Personal,PhonePe,1421.67,debit,830976,2025-01-08
